,Title,Rating,Description,Website,Address,Phone
266,Headspace,4.7,"Headspace is a digital service that provides guided meditation sessions and mindfulness training. Learn to meditate whenever you want, wherever you are, in just a few minutes a day.",https://www.headspace.com/,,
267,KYO Spaces ,4,Community ~ Retreats ~ Coliving ~ Coworking ~ Colearning ~ Cocreate,https://www.kyospaces.com, 098734 49535,
268,Your Trip Ends Here,4,Your Trip Ends Here is a community for travel enthusiasts. Their aim is to team up with such enthusiasts and explore unknown locales in India. ,https://www.kyospaces.com,,
269,The Hub ,3,The Hub is a Community Living Space in the heart of Bangalore where people come together. ,https://www.thehubco.live,"The Hub, 84/85 infantry Road Bangalore, India",098860 00090
270,Culture Chauraha ,4,"An art studio dedicated to teaching and promoting the arts & crafts. Working on art projects for more than 32 years, Cultue Chauraha introduces your creative side to you.",https://www.culturechauraha.com,"A-13, Block A, Gulmohar Park, Delhi, 110049",Also Available in: New Delhi
271,WeWork,3.9,"WeWork is a massive chain of workspaces that is spread all over the globe. Office spaces that have become a part of our lives, need to be interesting, not boring. With monthly membership options, get the perfect office space you ever desired.",http://wework.com/,"43, Residency Rd, Bengaluru, KA, 560025","Also Available in: Mumbai, Bangalore, Gurugram"
272,Plixxo,3,"Plixxo, a brainchild of POPxo, is India's largest influencer marketing platform. It brings brands, influencers and bloggers, all under one roof. Bloggers looking to earn money can make a profile there and start making money.",https://www.plixxo.com/," Building No. 2, Second Floor, Village Hauz Khas, New Delhi, Delhi 110016",
273,Happn India,3,Happn helps you make things happen! Met somebody cute on way and were afraid to ask them out? And now they are a stranger again. But not with happn. Let no crush become a stranger. Meet people you find worth sharing your time. ,https://www.happn.com/en/#intro,India,
274,Do Nice Shit,5,"Do Nice Shit is becoming synonymous with kindness. From feeding the hungry, educating kids and caring street animals, Do Nice Shit aren’t restricted to just one specific act of kindness. Be a part of this unique NGO!",https://www.happn.com/en/#intro,New Delhi,
275,FLOCKWORK,3.8,"Flockwork is a Co-working Space. It has Free High-Speed Wi-fi Unlimited, Tea & Coffee, Meeting Rooms, Printing & Copying Facility, Networking Events, Common Area, etc. ",https://flock.work/,"7-D Sagar Apartments, 6, Tilak Marg, New Delhi, Delhi",8130904379
276, Scarlette,3.8,"Scarlette New Delhi, a charming and intimate Maison d’hôtes in the middle of south Delhi. Guesthouse of four rooms decorated with Indian heritage mixed with a French touch. This charming haven of peace nicely decorated with French taste mixed with an Indian touch, furnished with antic and contemporary furniture is a proper home-away-from-home for those who like serenity, calm and comfort. Home linen and nightwear handmade with Parisian design.",https://scarlettenewdelhi.com/,"B2/139, Krishna Nagar, Safdarjung Enclave, New Delhi, Delhi ",8826010278
277,ArtBuzz,4.5,"Your one-stop destination for all things art. Follow us for latest art events, news, trivia and more.
ArtBuzz Studios - an initiative by ArtBuzz India to provide convenient, accessible & affordable community working spaces.",https://artbuzz.in," E49/5, Pocket D, Okhla Phase II, Okhla Industrial Area, New Delhi, Delhi 110020",9667938887
278,Lets Bunk Poshtel,3.9,"Set near shops and restaurants in the bohemian Hauz Khaz Village. Chic mixed-gender and single-sex dorms sleep 6 or 8 and provide complimentary Wi-Fi, lockers and bunk beds, plus minifridges, sitting areas and en suite, shower-only bathrooms. Private rooms are available. Some include living rooms.",https://letsbunk.live/,"T-40 Hauz Khaz Village, New Delhi, Delhi ",Also Available in: Hauz Khas
279,The Hello World,3.7,"Tech-enabled co-living & co-working startup. Our buildings are discrimination-free and packed with amenities. Every member has a private bedroom, thoughtfully furnished to move in with just your suitcase. Our professional team cleans private rooms and shared spaces, including kitchens and bathrooms. ",https://www.thehelloworld.com/,1546 & 1547,Also Available in: Bengaluru
280,So Share,4.4,"So Share is a collaborative co-working space for those in the creative, content & digital space. For a monthly membership fee we provide a working environment with high speed internet, unlimited tea & coffee, additional access to conference rooms bookable on an ad hoc basis and plenty more additional features.",https://www.soshare.in/,"A-33, Sector 2, Noida","Also Available in: Sector 2, Noida & Shahpur Jat, New Delhi "
281,Innov8,4.5,"Innov8 Coworking offers beautifully crafted workspaces where people can create, connect, and grow their businesses at prime locations in multiple cities pan-India. Innov8 hosts people from diverse backgrounds such as digital nomads, entrepreneurs, freelancers, corporates employees and startup enthusiasts.",https://innov8.work/,"69, Regal Building, Hanuman Road Area, Connaught Place, New Delhi - 110001","Also Available in: Delhi, Gurgaon, Noida, Mumbai, Bengaluru & Chandigarh"
282,Sproutbox,4,"Are you ready to, move in private offices, which is efficiently priced, centrally located? SproutBox is changing the way India thinks about coworking spaces by offering on-demand meeting rooms, beautifully designed coworking spaces. Grab a free pass and try coworking with them to join the great community.",http://www.sproutbox.in/,"D-181, Okhla Industrial Area Phase 1, New Delhi, Delhi 110020",093192 11228
283,ETribe Coworking Delhi,3.8,ETribe Coworking offers a collaborative environment and enormous networking opportunities at the most economical price for entrepreneurs and small businesses. They have two options that the team can work from home or we can rent a co-working space. ,https://www.etribeindia.com/,"13-A , 2nd floor , Pratap Nagar, Mayur vihar phase 1, Delhi, 110091",Also Available in: Delhi
284,GoWork,5,"GoWork is the world's largest co-working space that aims to craft a collaborative workspace globally. Their vision is to create dreams, idealize innovations and bring ease of access to technology, thus helping shape a revolution that will fast-track the Indian start-up community. ",http://www.goworkindia.com/,"Plot 108 , Udyog Vihar Phase 1, Dundahera Village, Sector 20, Gurugram, Haryana 122016, India",Also Available in: Currently available in Delhi & Gurgaon
285,My Awfis,4,"My Awfis offers coworking space, shared office space for rent in India. They develope innovative ecosystem for entrepreneurs equipped with high-speed wifi, meeting rooms with video conferencing facilities. They aim at bringing workspaces closer and make them more accessible to people.",https://www.awfis.com/,"A-16, First Floor, Qutab Institutional Area, Aruna Asaf Ali Marg, New Delhi","Also Available in: New Delhi, Bangalore, Hyderabad, Mumbai, Gurgaon, Noida, Kolkata, Pune"
286,ZoomStart Coworks,3.5,"Their aim is to provide affordable work-space and an enabling environment that allows individual professionals, start-ups and small businesses to ideate, create, thrive and succeed.",http://www.zoomstartindia.co,"Plot No 37, Sector 26, Parsik Hill, CBD Belapur, Navi Mumbai",+91 996 7718 483
287,My HQ Workspaces ,4,"Co-working spaces with blazing WiFi, brewing coffee, stimulating connections and a thriving community. ",http://myhq.in,,098713 74036
288,WeWork,3.9,"WeWork is a massive chain of workspaces that is spread all over the globe. Office spaces that have become a part of our lives, need to be interesting, not boring. With monthly membership options, get the perfect office space you ever desired.",http://wework.com/,"43, Residency Rd, Bengaluru, KA, 560025","Also Available in: Mumbai, Bangalore, Gurugram"
289,Navvi.in,4,"Navvi.in is an online marketplace established to bring together unique products from all over the country. From gifts to home decor, office accessories and much more, we have all under one roof.",www.navvi.in,"Kolkata, West Bengal, India",9330050014
290,Saiphware,3.9,"Saiphware, a recently initiated stoneware ceramics company under the parent company Goldvalue Trade Pvt Ltd, is set to create artisan crockery, handcrafted bohemian bowls and artefacts with bespoke styles, innovative designs.",www.navvi.in,9871698266,
291,Studio Palasa,4.4,"Palasa was born out of a passion for transforming homes, offices and retail spaces alike through the versatility of planters. We believe that a little bit of green can bring the much-needed vibrancy to the otherwise dull concrete jungles around us. Our products celebrate effortless convergence of man with nature. We also provide plants for indoor and outdoor styling.",http://www.palasa.co.in/,"463, 17th C Main Rd, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095",8105629860
292,vVyom,3.8,"vVyom offers and explores the limitless possibilities in the field of home and lifestyle products like cushions, rugs, quilts etc.
",http://www.vvyom.com/," D-69A, Jawahar Lal Nehru Marg, near Teenmurti Circle, Near Trimurti Circle, Rambagh, Jaipur, Rajasthan 302004",8952070707
293,Divyam Surabhi,3.8," Divyam Surabhi (Divya Topa) is a Creator and Maker (Artist, Curator, Author, Designer, Potter) that provides you with Handmade ceramic tablewars. These are signed art pieces to talk about over your dinner table.",http://www.divyamsurabhi.com/,8527402164,
294,The Indian Cause,3.8,"A lifestyle brand, a blend of craftsmanship with unique designs, to enhance livelihood of artisans. Join our journey to connect to The Indian Cause.",https://lbb.in/delhi/the-indian-cause-00178d/,,
295,Altair,3.7,"Altair is a bespoke event/space design company based in Mumbai, with operations all over India. With a core belief that elegant space design is the cornerstone of a beautifully executed event, we at Altair are a dedicated team of experienced professionals committed to creating unique designs and seeing them through from concept to reality.",https://www.altair-decor.com/,"Altair, 9 JVPD, Road 10, Juhu, Mumbai, Maharashtra",9820003665
296,Daily Objects,4.2,"As the premier Indian site offering designer and customizable cell phone cases, DailyObjects strives to raise the bar for product design & originality in the country.",https://www.dailyobjects.com," Firki Wholesale Private Limited Khasra No. 382, Plot No. 4, 2nd floor, M.G. Road, Sultanpur, New Delhi - 110030",80106 67667
297,Pura Vida Carpets,4,Pura Vida Carpets is the exclusive carpets and rugs label from one of the leading export manufacturing brand with its roots etched in rural India.,https://www.puravidacarpets.com/," 302, Phase II, NPV, Gurugram, Haryana 122017",9116909090
298,Dhaaga Handicrafts,4.4,Dhaaga offers you a unique blend of trendy and Eco-friendly handcrafted delights.Ethnically designed and made with a contemporary twist. Its creativity is alluring and the colors are enchanting.,https://lbb.in/shop/m/dhaaga-handcrafts,8291234595,
299,Old Tree,4.5,Old Tree has its own manufacturing facility and provides you with multi colored different types of Bags that enhances your lifestyle and fashion,https://oldtree.co/,"Shop no. 151/A export lane, Sarojini Nagar Main Market",9811113313
300,Casafleur,4.4,"Casafleur is a pioneer in the Indian Flower Industry, offering floral arrangements for delivery. We use the freshest flowers sourced from around the world to create the unique arrangement for all celebrations. Be it a birthday or an anniversary, our hand made arrangements are sure to make the occasion extra special.",https://trustvardi.sfo2.digitaloceanspaces.com/images/1563967617660EventsCatalogue.pdf,"10 Karan Place, Sarai Jullena, New Friends Colony New Delhi",Also Available in: New Delhi
301,folkulture,3.9,"Folkulture is a design led lifestyle brand that offers modern, boho-chic, contemporary, sophisticated and affordable home decor and kitchenware. We bring colors and creativity to everyday items through original ",https://www.amazon.com/folkulture,,
302,Forever Spring,3.9,Forever Spring is here to make your every season blissful with array of beautiful flowers. Place your orders for the most exquisite and luxurious flower arrangements.,https://www.amazon.com/folkulture,9810512390,
303,Green Earth,4,"We at Green Earth send out love in the form of beautifully designed fiber pots and planters for your home and office. Plant a little love, and see it grow. Let us all take an initiative to make INDIA clean & green.",http://www.greenearth.com/,"6591 Har Gobind Nagar, Ludhiana, Punjab, India 141008",9988996633
304,Heart & Craft Studio,4,"Heart and craft studio make decorative paper quilling picture frames, gift bags, envelopes and wall art for homes and boutique properties. Every design of ours is personal and unique!",https://www.etsy.com/in-en/shop/HeartAndCraftStore,99100 19671,
305,Art by Shaheen,3.8,"Internally driven and emotionally charged, Shaheen is enthusiastic and spontaneous, in person and on canvas. Today, Shaheen’s work is a bold mix of styles, ranging from more commercial abstract paintings and contemporary mixed media artwork, to more naturalistic and representational portraits and forms. ",http://www.artbyshaheen.com/,,
306,One Roze,4.5,One roze brings you luxury from around the world delivered to India. The collection is an opulence of flowers from across the globe. Luxury florists and Exquisite Decor!,https://www.oneroze.com,"8-2-120/86/1, GROUND LEVEL, KEERTHI PRIDE TOWERS, ROAD NO. 2, BANJARA HILLS, HYDERABAD – 500034.",9000162000
307,BUNOSILO,2.4,"BUNOSILO is an ethically driven, clothing and accessories company with a spirit to change the fast fashion clothing industry. Get high quality and hand made products.",https://www.bunosilo.com/,"NKB E solutions, 184, Harish Mukherjeee road, 3rd floor, South City Complex, Jadavpur, Kolkata, West Bengal 700026",Also Available in: Kolkata
308,Just Exotique,3.8,"A house is made of walls and beams; a home is built with love and dreams! Just exquisite gift items, home decor and lifestyle products in Nitika Malhotra's outstanding range. ",https://www.bunosilo.com/,,
309,IKEA,5,IKEA welcome's you to the world of inspiring solutions that make everyday life at home a little better. Sharing design inspiration & smart solutions to make life at home easier. ,https://www.ikea.com/in/en/?fbclid=IwAR31QiusWeVebI3kA8_0rb7XpCneGFwWH3IBgR0bs7pUbBo5Ke1drAf9BF8," Unit No. 421, Tower A, DLF Industrial Area, Jasola, Delhi, 110044",Also Available in: Noida
310,Ellement Co,3.8,"Women access to luxury is convenient with Element co. It offers creative solutions to your daily tasks. Exuberate confidence, beauty and happiness.",https://ellementco.com/,"909, Lotus Trade Center, New Link Road, Andheri West, Mumbai, Maharashtra 400053",Also Available in: Mumbai
311,The fig Tree,4,"Home boutique store, delivery all over India. Products can be customized too as per your preference. Prefect online platform to find. Enhance the ambiance of home from here.",https://ellementco.com/,,
312,Raahya,3.8,An initiative to explore the arts of India. Curating handcrafted and ethical gifting solutions for corporates and events .,https://lbb.in/delhi/Handcrafted-Gifts-Raahya-home-decor/,"510 Ecostar, Goregaon, Mumbai, Maharashtra 400063",9820462454
313,Le Jahaan,3.7,"Le Jahaan offers you high-quality home decor products, from jewelry boxes and magazine holders to trays and tea boxes. It's goal is to provide high-quality smart products & be a reliable online store.",https://www.lejahaan.com/, 096502 00922,
314,Beccos,4,"Beccos is a Korean Lifestyle brand that has opened its first stores in Delhi's Kamla Nagar, NSP and Lajpat Nagar. And they have everything from home essentials to electronics to baby care products to gifting items, and all of it at reasonable prices, with exclusive offers always running.",http://www.beccos.com,"39, UA, Bungalow Rd, Jawahar Nagar, Kamla Nagar, New Delhi, Delhi 110007",089292 71936
315,Ekaani,3.6,"Ekaani creates luxury gifting items and products for weddings, corporate events, parties and other events. Their huge collection boasts of everything one could look for in gifting, home decor and kitchen essentials.", http://www.ekaani.com,"BAP CREATIONS PVT. LTD. Address: A-81, SECTOR-5, NOIDA(U.P.) INDIA -201301",09811123226
316,The Decor Kart,3.8,"Our mission at The Decor Kart has always been to surprise and delight you with unexpected, distinctive finds for your home. We source and craft all our products with care, ensuring that any treasure you find at The Decor Kart is unique, just like you.",https://thedecorkart.com,"Showroom No. 3 New Main Main Market, Block B, Shivalik Colony, Malviya Nagar, New Delhi, Delhi 110017, India",9811338191
317,Artykite,5,"Do you always struggle to find a unique and meaningful gift for your loved ones? At Artykite, we create inspirational and beautiful Home decor products & Merchandise based on Poetry and literature. Literature and Poetry can make everything beautiful and when accompanied by good art, it only gets perfect. ",https://www.artykite.com/,"N 81, Connaught Place, Block N, Connaught Place, New Delhi, Delhi 110001, India",9953002138
318,Floral Street,3.5,"At Floral Street, flowers are celebrated as an art! We bring to you luxury Bouquets and Arrangements💐! We bring to you carefully crafted Hand-Tied Bouquets and Arrangements for Delivery and Decor!",https://www.artykite.com/,"C- Block Market, Vasant Vihar New Delhi",098100 19965
319,A Tiny Twisted,3.8,Modern and Contemporary Macrame Designs.,www.etsy.com/uk/shop/AtinyTwisted,"Gurgaon , India",Also Available in: all over shipping available
320,koy store,3.8,We believe good design needs to stimulate and the ultimate luxury is the freedom to express yourself.,http://koy.store/,"Keshav Nagar, Mundhwa. Pune 411036. Maharashtra. India.",+91 98908 00029
321,Mi Casa Collective,3.5,"Mi Casa collective store is your one-stop shop for all art, home decor, and lifestyle products. It has a range of colorful and whimsical products.",http://koy.store/,M-1 Hauz Khas New Delhi,8929336152
322,Karo Store,3.9,Karo Store offers home decor and accessories that are out-of-the-box and tasteful. if you're looking to decorate your home with classic and sophisticated items then Karo Store is ideal for you.,https://www.karo-store.in/,+91 11 9899235464,
323,Home Artisan,4.2,"Home Artisan is a place where form meets function, trendy meets timeless, and style meets simplicity. They design and craft home decor products that reflect global trends for an audience that is tired of having to choose between overpriced home decor brands or poorly-curated collections at local stores. Make your home beautiful with master decor items.",https://www.homeartisan.in/,"J-54, Ashok Vihar Phase 1 Rd, H block, Pocket H, Phase 1, Ashok Vihar, Delhi, 110052",+91-8851662553
324,The Lazy Owl Designs,3.8,"Lazy Owl Designs is a small creative business based out of Delhi. Exploring the field of design with experiments in paper, graphics and decor.
They deal in Handmade Gifts, Greeting Cards, Customized Scrapbooks, Custom Shadow Boxes, Digital Poster Prints, Branding and Stationery, Design, Graphic Design, Interior Design & Paper Crafts.",http://www.thelazyowldesigns.com/,"Greater Kailash – II, New Delhi – 110048, India",Also Available in: Delhi NCR
325,Urban Living Ideas,3.8,"Urban Living Ideas is a start up retail store initiated for consumers wanting to create a personalised green environment. At ULI you will find amazing range of pots , planters, garden accessories and much more.",https://urbanlivingideas.com/,"Citizen Road, 7th Cross Road, Ayyappankvu, Ernakulam",Also Available in: Delivery All Over India
326,SPIN,4.2,SPIN brings modern furnishings for your home that will compliment and redefine existing lifestyle in favor of a more free-flowing one. You will find modern designs for all the necessary furniture you want! Spin will help you reinterpret your home space. ,https://www.madewithspin.com/,"Ground, 10/14 lower, Sarvapriya Vihar, New Delhi, Delhi 110074",Also Available in: Worldwide
327,Smytten,4.2,"Smytten offers you a free trial of 100% verified premium brands like Bvlgari, Calvin Klein, Kama Ayurveda etc. The products are divided into categories of beauty, gentlemen's grooming, food and beverage, smart technology, spas, salons and much more! With them find the right product or service that you have fallen in love with, and own them in a click.",https://smytten.com/,"ANM-39F, Akashneem Marg, DLF Phase 2, Sector 25, Gurugram, Haryana 122002","Also Available in: Delhi, Haryana & more"
328,Pieces- For Beautiful Places,4.2,Pieces for Beautiful Places offers the art pieces that will make you happy and space cozy. All the designs are out of the box with lots of colors. They create custom art pieces for special occasions.,https://smytten.com/,"2, Gandhi Square. Delhi,India - 110007",Also Available in: world wide
329,Glue&sew,5,"Glue&sew will be there with a whole range of new products totally handmade with magical love potion. Live music, art installation, fesh food, live art corners, DIY session and many more elements await you on the 4th of Feb. Don't miss the first every street art festival in Kolkata",https://lbb.in/kolkata/GlueSew-Unicorn-Street-Art-Festival18-6f6699/,91633 78822,
330,QuirkStop,3.8,"QuirkStop.com tries to showcase the most unique products that are available online, after exploring hundreds of products in various stores. These select products have been tastefully curated so that you only have the best to choose from.",https://lbb.in/kolkata/GlueSew-Unicorn-Street-Art-Festival18-6f6699/,,
331,Umber Stitch,3.8,"Umber Stitch Paper Foundry is an initiative to support and expand handcraft tradition. They make and sell unique handcrafted gifts and stationery. Umber Stitch is a one-stop shop for unique gift ideas, creative stationery, personal gifting, thoughtful souvenirs, and more.",http://www.umberstitch.com/,098677 97421,
332,Tjori,4,The idea behind the brand is to change your ideas about Indian fashion. Tjori offers a wide variety of products from clothes to accessories that make it comfortable and classy for you to carry ethnic wear and present outfits which are made from Indian handloom.,https://www.tjori.com,"Kh 356/357, Sultanpur Metro Station, MG Road Delhi, Delhi 110030, India",0120 626 6266
333,Scootsy,3.8,"Scootsy, takes pride in the supersonic delivery of all things you crave and desire, right from your favourite food to your favourite stationery, they'll deliver it all. This facility is available in partial area of Mumbai and soon to be expanding to other places.",https://scootsy.com/,"3rd Floor, Todi & Company, Mathuradas Mill Compound, Lower Parel West, Mumbai, Maharashtra 400013, India",Also Available in: Partial Regions of Mumbai
334,deckout.in,3.8,"Deckout presents some unique, some different and some ‘with a twist’ decor items, to add an aesthetic touch to your homes & offices, from the heart of India. Their products range from candle stands to coasters to just home decor stuff so that your home becomes a better paradise for you!",https://deckout.in,"255, Ther Anshik, Sambhal- 244302, UP, India",+91-9811665350
335,The Flower Company,3,"The Flower Company brings you the most unique flower arrangements for all the special occasions to make them even more memorable. They bring you the handpicked flowers which stay fresh for a longer time. The next time you need flowers, don't forget here's a whole company of it!",http://theflowercompany.in,+91- 9811105989,
336,Dale + Co.,4,"Dale + Co., named after two lovely dogs (Dale and Cooper), is a brand that provides you with global handicrafts with a noble aim to bring worldwide craftsmanship to India - which are accessible, affordable and matches your taste and utility.",https://www.daleandco.in/,,
337,Craftastique,5,"Craftastique brings you the most amazing of collections of handmade gifts, home decor products and has all those gifting solutions you could ask for. Currently taking orders on Instagram and Facebook, they have products which make those special moments even more special!",https://www.youtube.com/channel/UCMzJm4BDb7xEA6hpWkHbJWw,9582047727,
338,Celebração,3.8,"At Celebracao, get the most exciting and luxurious floral gift options to those fancy event decor options where you get a touch of uniqueness to everything. Be it a birthday, an anniversary or just a special gathering, Celebrate it with Celebracao!",https://www.youtube.com/channel/UCMzJm4BDb7xEA6hpWkHbJWw,"C 303, La Tierra, Dhanori Road,, Vishrantwadi, Pune, Maharashtra 411015",080078 53825
339,Home Struck,3,Home Struck is a brand that speaks style. They offer home decor products that are colorful and artistic so that you can add those extra charms to your beautiful home.,https://www.youtube.com/channel/UCMzJm4BDb7xEA6hpWkHbJWw,,
340,Eat Travel Splurge ,3," As the name suggests, every product offered by this brand caters to help you eat, travel and splurge in style. They thrive hard to maintain the quirky and functional aesthetic across all their range of products. ",http://www.eattravelsplurge.com," 412, Reliable Business Center, Behind oshiwara, Anand Nagar, Andheri West, Mumbai, Maharashtra 400053",8779986465
341,Balcony Makeovers,3.7,"The founder of Balcony Makeovers, Mahima well understands the desire for a cosy nook in the Hosur where residents can unwind the tiresome day, kick back and relax. Balcony Makeovers is driven to turn even the tiniest part of your home sweet home into a pretty one, perhaps even prettier than the terrace you’d imagined. Win-Win? Absolutely! ",https://www.balconymakeovers.com/,"#18, Next To Tata Primanti, Southern Peripheral Road, Sector 72, Gurugram, Haryana 122004, India",9810498348
342,It's an affair,3.4,"It's An Affair brings you the amazing services to turn every event of yours into an affair! From weddings to baby showers, from birthdays to bachelor parties, you name the event, and they have got you covered!",https://www.balconymakeovers.com/, 9820913524,
343,The Rose Affair,3.2,"Now, with The Rose Affair, gift your loved ones roses that stay young and fresh forever. With roses ranging from fresh bouquets to gift sets, The Rose Affair has got your back (with roses, of course)!",http://www.theroseaffair.com/,088503 26740,
344,Taamaa,3.5,"Taamaa, by LOCO Design, is a cosmopolitan lifestyle brand creating products and objects that bring delight to everyday living. Their use of material, minimal detailing and chic designs make the products perfect for modern living.",http://www.taamaa.in,"Taamaa Creative Pvt ltd Plot no. 1, Sector 33 Near Infocity 2, Gurgaon Haryana 122001",+91 8826847828
345,HaraMe Company ,3.6,Hara Me Company works across landscape design and urban ecology. We facilitate the re-connection between the constructed and the natural within our cities.,http://www.taamaa.in,,
346,The Fairy Dust Studio ,4,"Headed by Sahej Pasricha, the brand essentially takes inspiration from whimsical boutiques and fluently infuses them into home accessories, stationery, vintage markets and more. The stationery from The Fairy Dust Studio is what dreams are made of. Think pastel colours, small prints and designs elegantly crafted & deployed to give you a treasure of a lifetime.
",http://www.taamaa.in,,
347,Otimber,3.4,"Otimber brings to you the best of wooden products, which are made from the love of nature and the power of technology, creating a perfecting blend of the two.",http://otimber.com/index.php?route=common/home,8891006000,
348,The Initial Studio,4,"Creating and curating irresistible personalised products for all your sartorial and gifting needs.
",http://www.theinitialstudio.com/,,
349,AY Inflorescence,3.8,"AY Inflorescence uses special clay called Deco Clay to make creative products for special occasions. With AY Inflorescence, you also get to learn the craft of working with Deco Clay.",http://www.ayinflorescence.com/,"23/2 SSB House, Trinity Road, Old Airport Road, Bangalore - 560007",+919800733331
350,HitPlay ,4,"Gifts & Gadgets for those who've got everything else. In other words, all things quirky and out-of-the-box.
",https://hitplay.in/,"1B,Laaj,Off North Avenue,18th Road,, Santacruz ( West ), Mumbai, Maharashtra 400054",022 6588 5504
351,The Aww Store ,4,"This online store is known for making multi-functional products that are both stylish and instagrammy at the same time. Expect bags, accessories, home decor, gifting items and a lot more. They even do customsations.",https://www.theawwstore.com/,"Excel Plaza, 901/902, 400077, 90 Feet Rd, Saibaba Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",099304 33221
352,Peeli Dori ,4,Peeli Dori offers a conscious lifestyle in the form of Luxury Products finely crafted by hand. We bring to you products for a completely sustainable lifestyle where you can contribute to the skilled handcrafted culture of India.,https://peelidori.com/,"5k/2, Jungi Lane, ",68888557
353,Maeva candles & fragrances,3.8,An exquisite collection of scented candles and fragrances with a whole lot of options in floral gifts products proudly made in India.,https://www.themaevastore.com,"RAMESH FLOWERS PRIVATE LIMITED, The Bohemian House, #5, Woodlands Hotel Pvt. Ltd, RajaRam MohanRoy Road, Sampangi Rama Nagara, Bengaluru, Karnataka 560025",+91-739 770 4430
354,Green Decor,4,Green Decor specializes in providing indoor and outdoor plants for home decor and business spaces.,https://www.greendecor.in/,"D Mall, Pitampura, New Delhi",+91 9953 572 573
355,Cyahi,4,"They deal in a wide range of products ranging from home decor, dining accessories, women accessories to mobile accessories. With high-class quality products, Cyahi brings you the best of the lot",https://www.cyahi.com/,"Cyahi Design Pvt. Ltd. 609, Signature-1, S.G. Highway, Nr. YMCA Club, Ahmedabad, Gujarat, India - 380051",+1 800-212-9244
356,Mostlyhandmade ,3.8,"Gift your loved ones some handcrafted love, because at Mostly Handmade, they believe in delivering your feelings to your loved ones.",http://www.mostlyhandmade.com/,"15th main, 1st A Cross, HSR 6th Phase Bangalore, India",096119 68968
357,Dazzle Home,3.9,Dazzle Homes bring you the handcrafted home decor items. Their most uniquely designed collection of Ceramic Wall Plates will not fall short of dazzling those guests of yours.,https://www.dazzlehome.in/,"Kolkata, 700068",
358,Waabi Saabi,4.1,Waabi Saabi is the brainchild of three budding entrepreneurs who recognized the need for lifestyle products with a distinct Japanese-inspired design ethic.,https://www.waabisaabi.com,,
359, Sepoy & Co.,3.7,"Sepoy & Co. is a Premium Tonic Water and Mixers. Blended natural flavours, a precise recipe and only the finest ingredients for an exquisite finish. Low Calorie and made with 100% natural ingredients.",https://sepoyandco.com/,,
360,Brio Art house,4.5,"The hands and heart behind Brio Art House & Cafe is of a self-taught artist, Ankita Jaiswal who always found her art with allowance to communicate without words. Reviving the art and culture of 'Oudh' in a modernised way, creations by Aj. bind you with emotions into stories and art around us, amidst healthy & delicious food to savour.
",https://brioarthouse.com/brio-store/,"Junabganj, Katibagiya,Katibagiya 226401",7081777778
361,Didier And Frank,3.7,"Didier & Frank bring you those exotic flavours and handcrafted chocolates that the Aztecs enjoyed secretly. Today, Didier & Frank makes the best chocolates in the world. Be ready to indulge in their amazing dark chocolate bar.",https://www.didierandfrank.com/,,
362,Happy Booch Kombucha,3.9,"Happy Booch Kombucha is a raw premium kombucha made with local organic loose leaf teas, herbs, flowers, barks, botanicals for healing, best-tasting booch experience. The best quality of kombucha you can buy! Delicious all-natural kombucha made with local handpicked organic ingredients, Vegan, Naturally fizzy.",https://happybooch.com/,"Building No 102, Kannamwar Nagar II, Kopar Khairane, Navi Mumbai, Maharashtra ",7021552978
363,Berfila,4,"Berfila, a food startup is on mission to provide unique customer experience. It provides with luxury gifting solutions and also gives an option to buy sweets as gifts online in India.
",https://www.berfila.com,"D-117, First Floor, South City 2, Gurgaon, Haryana - 122018",8375997836
364,Classic Tales,3.8,"In this modern lifestyle, nature&its blessings often escape our observation. Recognising & embracing these unrealized luxuries into our regular lives have become a necessity. The Classic Tales, a premium Indian Organic food & beverages brand. We mirror the purest forms of nature & life in all our offerings & services to provide you with a loved & trusted experience. All their products are handcrafted& freshly made in small batches to ensure quality & authentic taste. The traditional handcraft is carefully intertwined with modern brilliance at Classic Tales to provide a sophisticated experience & enable healthy living. ",https://classictales.com/,9589005260,
365,The Cake Boutique,4.5,"""The Cake Boutique"" bakes Eggless Cakes and Cupcakes on order. We specialise in Fondant & Buttercream Cakes, Cupcakes, Cookies, pastries. They can be customised to your own taste and theme accordingly. ",https://classictales.com/,"Vasant Kunj, Delhi, India",9958180063
366,EatwithIndia,3.9,"We put together a pop-up style, dining experience with eatwithindia, which rivals a traditional restaurant experience. Expert chefs prepare multi-course dinners for an evening of fun, social dining and connecting adventurous foodies together on communal tables, thus breaking the mould of individual dining and reflecting our belief that communities and friendships are formed over food.",http://www.eatwithindia.com,"H-82, 2nd Floor, Yusufpur, Sector 63, Noida, Uttar Pradesh 201301", 01204228274
367,AgroPure,4.5,"AgroPure group is a renowned name in manufacturing of besan (gram flour) and pulses with high-quality standards and towering supply chain. AgroPure ventured into the online space in 2018 with a vision to reach the households of the most remote areas with quality pulses & consumables. With Free Delivery & No minimum order, AgroPure becomes the best choice for your online grocery shopping.",https://www.agropure.in/,"2262-2265, Food Park, Phase- II, HSIIDC, Rai, Sonipat, Haryana",Also Available in: Delhi NCR
